Expression	Value	Location	Type	
ringBuff	<array>""	0x20007DCC	char[1024]	
[0]	0x00	0x20007DCC	char	
[1]	0x41	0x20007DCD	char	
[2]	0x54	0x20007DCE	char	
[3]	0x45	0x20007DCF	char	
[4]	0x30	0x20007DD0	char	
[5]	0x0D	0x20007DD1	char	
[6]	0x0D	0x20007DD2	char	
[7]	0x0A	0x20007DD3	char	
[8]	0x4F	0x20007DD4	char	
[9]	0x4B	0x20007DD5	char	
[10]	0x0D	0x20007DD6	char	
[11]	0x0A	0x20007DD7	char	
[12]	0x0D	0x20007DD8	char	
[13]	0x0A	0x20007DD9	char	
[14]	0x2B	0x20007DDA	char	
[15]	0x43	0x20007DDB	char	
[16]	0x50	0x20007DDC	char	
[17]	0x49	0x20007DDD	char	
[18]	0x4E	0x20007DDE	char	
[19]	0x3A	0x20007DDF	char	
[20]	0x20	0x20007DE0	char	
[21]	0x52	0x20007DE1	char	
[22]	0x45	0x20007DE2	char	
[23]	0x41	0x20007DE3	char	
[24]	0x44	0x20007DE4	char	
[25]	0x59	0x20007DE5	char	
[26]	0x0D	0x20007DE6	char	
[27]	0x0A	0x20007DE7	char	
[28]	0x0D	0x20007DE8	char	
[29]	0x0A	0x20007DE9	char	
[30]	0x4F	0x20007DEA	char	
[31]	0x4B	0x20007DEB	char	
[32]	0x0D	0x20007DEC	char	
[33]	0x0A	0x20007DED	char	
[34]	0x0D	0x20007DEE	char	
[35]	0x0A	0x20007DEF	char	
[36]	0x2B	0x20007DF0	char	
[37]	0x43	0x20007DF1	char	
[38]	0x53	0x20007DF2	char	
[39]	0x51	0x20007DF3	char	
[40]	0x3A	0x20007DF4	char	
[41]	0x20	0x20007DF5	char	
[42]	0x31	0x20007DF6	char	
[43]	0x34	0x20007DF7	char	
[44]	0x2C	0x20007DF8	char	
[45]	0x30	0x20007DF9	char	
[46]	0x0D	0x20007DFA	char	
[47]	0x0A	0x20007DFB	char	
[48]	0x0D	0x20007DFC	char	
[49]	0x0A	0x20007DFD	char	
[50]	0x4F	0x20007DFE	char	
[51]	0x4B	0x20007DFF	char	
[52]	0x0D	0x20007E00	char	
[53]	0x0A	0x20007E01	char	
[54]	0x0D	0x20007E02	char	
[55]	0x0A	0x20007E03	char	
[56]	0x2B	0x20007E04	char	
[57]	0x43	0x20007E05	char	
[58]	0x52	0x20007E06	char	
[59]	0x45	0x20007E07	char	
[60]	0x47	0x20007E08	char	
[61]	0x3A	0x20007E09	char	
[62]	0x20	0x20007E0A	char	
[63]	0x30	0x20007E0B	char	
[64]	0x2C	0x20007E0C	char	
[65]	0x31	0x20007E0D	char	
[66]	0x0D	0x20007E0E	char	
[67]	0x0A	0x20007E0F	char	
[68]	0x0D	0x20007E10	char	
[69]	0x0A	0x20007E11	char	
[70]	0x4F	0x20007E12	char	
[71]	0x4B	0x20007E13	char	
[72]	0x0D	0x20007E14	char	
[73]	0x0A	0x20007E15	char	
[74]	0x0D	0x20007E16	char	
[75]	0x0A	0x20007E17	char	
[76]	0x2B	0x20007E18	char	
[77]	0x43	0x20007E19	char	
[78]	0x47	0x20007E1A	char	
[79]	0x41	0x20007E1B	char	
[80]	0x54	0x20007E1C	char	
[81]	0x54	0x20007E1D	char	
[82]	0x3A	0x20007E1E	char	
[83]	0x20	0x20007E1F	char	
[84]	0x31	0x20007E20	char	
[85]	0x0D	0x20007E21	char	
[86]	0x0A	0x20007E22	char	
[87]	0x0D	0x20007E23	char	
[88]	0x0A	0x20007E24	char	
[89]	0x4F	0x20007E25	char	
[90]	0x4B	0x20007E26	char	
[91]	0x0D	0x20007E27	char	
[92]	0x0A	0x20007E28	char	
[93]	0x0D	0x20007E29	char	
[94]	0x0A	0x20007E2A	char	
[95]	0x4F	0x20007E2B	char	
[96]	0x4B	0x20007E2C	char	
[97]	0x0D	0x20007E2D	char	
[98]	0x0A	0x20007E2E	char	
[99]	0x0D	0x20007E2F	char	
[100]	0x0A	0x20007E30	char	
[101]	0x4F	0x20007E31	char	
[102]	0x4B	0x20007E32	char	
[103]	0x0D	0x20007E33	char	
[104]	0x0A	0x20007E34	char	
[105]	0x0D	0x20007E35	char	
[106]	0x0A	0x20007E36	char	
[107]	0x4F	0x20007E37	char	
[108]	0x4B	0x20007E38	char	
[109]	0x0D	0x20007E39	char	
[110]	0x0A	0x20007E3A	char	
[111]	0x0D	0x20007E3B	char	
[112]	0x0A	0x20007E3C	char	
[113]	0x31	0x20007E3D	char	
[114]	0x30	0x20007E3E	char	
[115]	0x2E	0x20007E3F	char	
[116]	0x32	0x20007E40	char	
[117]	0x31	0x20007E41	char	
[118]	0x33	0x20007E42	char	
[119]	0x2E	0x20007E43	char	
[120]	0x32	0x20007E44	char	
[121]	0x31	0x20007E45	char	
[122]	0x32	0x20007E46	char	
[123]	0x2E	0x20007E47	char	
[124]	0x31	0x20007E48	char	
[125]	0x37	0x20007E49	char	
[126]	0x30	0x20007E4A	char	
[127]	0x0D	0x20007E4B	char	
[128]	0x0A	0x20007E4C	char	
[129]	0x0D	0x20007E4D	char	
[130]	0x0A	0x20007E4E	char	
[131]	0x4F	0x20007E4F	char	
[132]	0x4B	0x20007E50	char	
[133]	0x0D	0x20007E51	char	
[134]	0x0A	0x20007E52	char	
[135]	0x0D	0x20007E53	char	
[136]	0x0A	0x20007E54	char	
[137]	0x4F	0x20007E55	char	
[138]	0x4B	0x20007E56	char	
[139]	0x0D	0x20007E57	char	
[140]	0x0A	0x20007E58	char	
[141]	0x0D	0x20007E59	char	
[142]	0x0A	0x20007E5A	char	
[143]	0x31	0x20007E5B	char	
[144]	0x2C	0x20007E5C	char	
[145]	0x20	0x20007E5D	char	
[146]	0x43	0x20007E5E	char	
[147]	0x4F	0x20007E5F	char	
[148]	0x4E	0x20007E60	char	
[149]	0x4E	0x20007E61	char	
[150]	0x45	0x20007E62	char	
[151]	0x43	0x20007E63	char	
[152]	0x54	0x20007E64	char	
[153]	0x20	0x20007E65	char	
[154]	0x4F	0x20007E66	char	
[155]	0x4B	0x20007E67	char	
[156]	0x0D	0x20007E68	char	
[157]	0x0A	0x20007E69	char	
[158]	0x0D	0x20007E6A	char	
[159]	0x0A	0x20007E6B	char	
[160]	0x3E	0x20007E6C	char	
[161]	0x20	0x20007E6D	char	
[162]	0x0D	0x20007E6E	char	
[163]	0x0A	0x20007E6F	char	
[164]	0x44	0x20007E70	char	
[165]	0x41	0x20007E71	char	
[166]	0x54	0x20007E72	char	
[167]	0x41	0x20007E73	char	
[168]	0x20	0x20007E74	char	
[169]	0x41	0x20007E75	char	
[170]	0x43	0x20007E76	char	
[171]	0x43	0x20007E77	char	
[172]	0x45	0x20007E78	char	
[173]	0x50	0x20007E79	char	
[174]	0x54	0x20007E7A	char	
[175]	0x3A	0x20007E7B	char	
[176]	0x31	0x20007E7C	char	
[177]	0x2C	0x20007E7D	char	
[178]	0x31	0x20007E7E	char	
[179]	0x30	0x20007E7F	char	
[180]	0x32	0x20007E80	char	
[181]	0x0D	0x20007E81	char	
[182]	0x0A	0x20007E82	char	
[183]	0x0D	0x20007E83	char	
[184]	0x0A	0x20007E84	char	
[185]	0x2B	0x20007E85	char	
[186]	0x52	0x20007E86	char	
[187]	0x45	0x20007E87	char	
[188]	0x43	0x20007E88	char	
[189]	0x45	0x20007E89	char	
[190]	0x49	0x20007E8A	char	
[191]	0x56	0x20007E8B	char	
[192]	0x45	0x20007E8C	char	
[193]	0x2C	0x20007E8D	char	
[194]	0x31	0x20007E8E	char	
[195]	0x2C	0x20007E8F	char	
[196]	0x34	0x20007E90	char	
[197]	0x3A	0x20007E91	char	
[198]	0x0D	0x20007E92	char	
[199]	0x0A	0x20007E93	char	
[200]	0x20	0x20007E94	char	
[201]	0x02	0x20007E95	char	
[202]	0x00	0x20007E96	char	
[203]	0x00	0x20007E97	char	
[204]	0x0D	0x20007E98	char	
[205]	0x0A	0x20007E99	char	
[206]	0x3E	0x20007E9A	char	
[207]	0x20	0x20007E9B	char	
[208]	0x0D	0x20007E9C	char	
[209]	0x0A	0x20007E9D	char	
[210]	0x44	0x20007E9E	char	
[211]	0x41	0x20007E9F	char	
[212]	0x54	0x20007EA0	char	
[213]	0x41	0x20007EA1	char	
[214]	0x20	0x20007EA2	char	
[215]	0x41	0x20007EA3	char	
[216]	0x43	0x20007EA4	char	
[217]	0x43	0x20007EA5	char	
[218]	0x45	0x20007EA6	char	
[219]	0x50	0x20007EA7	char	
[220]	0x54	0x20007EA8	char	
[221]	0x3A	0x20007EA9	char	
[222]	0x31	0x20007EAA	char	
[223]	0x2C	0x20007EAB	char	
